sequential_id,gender,treatment,customer_signup,country,commercial_communications,communications_signup,loyalty_level,loyalty_signup,birth_date,email,total_reservations,average_stay,average_advance_booking,billing,reservation_channel,travel_reason,last_reservation,different_hotels,companion,language_name,age
2.635.015,hombre,Señor,2023-05-23,AT,True,,,,1968-07-19,False,2,8,35,643.98326572,Indirecto,LEISURE,2023-06-08,2.0,Pareja,German,55
5.532.964,mujer,Señora,2022-04-12,US,True,,,,1986-03-10,False,2,1,5,403.34272832,Indirecto,LEISURE,2022-10-17,2.0,Pareja,English,38
2.369.625,mujer,Señora,2023-06-26,SK,True,,,,1982-04-17,True,2,4,8,3918.1278565905,Indirecto,LEISURE,2023-07-13,2.0,Pareja,Slovak,42
4.891.501,hombre,Señor,2022-07-15,PT,True,,,,1988-07-02,False,3,1,7,606.66425228,Indirecto,MIXTO,2023-01-24,3.0,Individual,Portuguese,35
1.850.768,mujer,Señora,2023-08-23,US,True,2023-10-05,,,2000-05-04,True,2,3,3,894.24727556,Directo,LEISURE,2023-08-31,1.0,Pareja,English,24
1.193.349,mujer,Señor / Señora,2023-11-13,BR,True,2023-12-27,,,1986-01-12,True,2,2,54,449.69542428,Directo,LEISURE,2023-11-20,2.0,Grupo,Portuguese,38
5.377.486,mujer,Señora,2022-05-05,PT,True,,,,1993-05-24,False,10,1,96,468.75276384,Directo,BT,2023-01-06,1.0,Individual,Portuguese,31
1.836.218,hombre,Señor,2023-08-25,CN,True,,,,1999-08-01,True,4,2,8,2168.97454456,Mixto Directo,LEISURE,2023-11-20,4.0,Pareja,Chinese,24
5.415.773,hombre,Señor,2022-04-29,FR,True,,,,1989-07-13,True,2,4,5,724.225476,Directo,MIXTO,2022-05-07,1.0,Individual,French,34
4.432.613,hombre,Señor,2022-09-05,ES,True,2022-10-20,,,1967-07-22,True,3,1,62,388.39911228,Mixto Indirecto,BT,2023-01-10,2.0,Individual,Spanish,56
2.302.324,hombre,Señor,2023-07-05,ES,True,,,,2000-08-23,False,2,3,2,705.36400164,Directo,MIXTO,2023-11-26,2.0,Pareja,Spanish,23
4.227.844,hombre,Señor,2022-09-30,ES,True,,,,1985-11-17,False,2,18,33,4901.90036304,Mixto Indirecto,MIXTO,2024-03-01,2.0,Individual,Spanish,38
1.368.976,mujer,Señora,2023-10-20,CA,True,2023-12-05,,,1942-06-18,True,2,2,79,862.25832936,Indirecto,MIXTO,2023-10-24,2.0,Individual,English,82
3.196.367,hombre,Señor,2023-03-09,ES,True,2023-11-17,,,1984-06-26,True,5,1,65,1491.87817988,Mixto Indirecto,MIXTO,2024-04-06,3.0,Individual,Spanish,40
5.382.381,hombre,Señor,2022-05-05,LV,True,,,,1955-09-24,True,2,14,61,2449.76523232,Indirecto,LEISURE,2023-05-28,1.0,Pareja,English,68
4.073.035,hombre,Señor,2022-10-20,ES,True,,,,1961-08-17,False,3,1,6,919.14821064,Mixto Directo,MIXTO,2024-01-16,2.0,Individual,Spanish,62
3.624.726,mujer,Señora,2022-12-29,ES,True,,,,1978-10-30,True,3,6,75,3036.50470968,Directo,LEISURE,2024-01-07,1.0,Familia,Spanish,45
5.654.477,mujer,Señora,2022-03-20,HN,True,,,,1992-06-13,True,3,3,12,1335.58484,Mixto Directo,LEISURE,2022-03-30,1.0,Pareja,Spanish,32
4.294.940,hombre,Señor,2022-09-22,TR,True,,,,1975-12-23,True,2,2,10,783.428,Directo,MIXTO,2023-09-15,1.0,Individual,Turkish,48
4.507.175,mujer,Señora,2022-08-27,ES,True,,,,1959-09-22,True,2,2,8,476.79272608,Mixto Directo,LEISURE,2023-09-12,2.0,Pareja,Spanish,64
3.458.702,mujer,Señora,2023-01-25,ES,True,,,,1990-03-27,False,3,1,60,521.81818316,Indirecto,MIXTO,2023-10-09,3.0,Individual,Spanish,34
4.248.319,hombre,Señor,2022-09-28,ES,True,,,,1969-01-02,True,2,2,28,1032.79730456,Indirecto,BT,2023-06-09,2.0,Individual,Spanish,55
